"Deaths registered weekly, by sex and age"
"Topic: |Deaths"
""
"Age, 31 December";"Total";"Total";"Total";"0 to 64 years";"0 to 64 years";"0 to 64 years";"65 to 79 years";"65 to 79 years";"65 to 79 years";"80 years or older";"80 years or older";"80 years or older"
"Sex";"Total male and female";"Male";"Female";"Total male and female";"Male";"Female";"Total male and female";"Male";"Female";"Total male and female";"Male";"Female"
"Periods";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal"
"2004 week 53 (5 days)";"2067";"988";"1079";"353";"225";"128";"668";"383";"285";"1046";"380";"666"
"2005 week 0 (2 days)";"796";"398";"398";"141";"92";"49";"223";"127";"96";"432";"179";"253"
"2005 week 1";"2871";"1401";"1470";"462";"276";"186";"876";"532";"344";"1533";"593";"940"
"2005 week 2";"2808";"1356";"1452";"477";"289";"188";"870";"529";"341";"1461";"538";"923"
"2005 week 3";"2845";"1389";"1456";"510";"297";"213";"868";"538";"330";"1467";"554";"913"
"2005 week 4";"2813";"1392";"1421";"474";"292";"182";"853";"514";"339";"1486";"586";"900"
"2005 week 5";"2906";"1422";"1484";"550";"338";"212";"894";"527";"367";"1462";"557";"905"
"2005 week 6";"3001";"1490";"1511";"519";"313";"206";"953";"563";"390";"1529";"614";"915"
"2005 week 7";"3094";"1548";"1546";"537";"323";"214";"949";"549";"400";"1608";"676";"932"
"2005 week 8";"3197";"1539";"1658";"533";"316";"217";"908";"546";"362";"1756";"677";"1079"
"2005 week 9";"3351";"1615";"1736";"526";"305";"221";"994";"618";"376";"1831";"692";"1139"
"2005 week 10";"3277";"1555";"1722";"527";"302";"225";"919";"559";"360";"1831";"694";"1137"
"2005 week 11";"3089";"1416";"1673";"487";"272";"215";"922";"520";"402";"1680";"624";"1056"
"2005 week 12";"2961";"1425";"1536";"495";"316";"179";"866";"526";"340";"1600";"583";"1017"
"2005 week 13";"2765";"1321";"1444";"517";"308";"209";"839";"503";"336";"1409";"510";"899"
"2005 week 14";"2670";"1304";"1366";"471";"287";"184";"807";"469";"338";"1392";"548";"844"
"2005 week 15";"2615";"1326";"1289";"492";"273";"219";"787";"495";"292";"1336";"558";"778"
"2005 week 16";"2566";"1275";"1291";"501";"291";"210";"777";"482";"295";"1288";"502";"786"
"2005 week 17";"2530";"1256";"1274";"446";"258";"188";"775";"458";"317";"1309";"540";"769"
"2005 week 18";"2564";"1252";"1312";"491";"297";"194";"766";"454";"312";"1307";"501";"806"
"2005 week 19";"2572";"1236";"1336";"476";"267";"209";"877";"522";"355";"1219";"447";"772"
"2005 week 20";"2574";"1267";"1307";"469";"299";"170";"818";"503";"315";"1287";"465";"822"
"2005 week 21";"2662";"1259";"1403";"492";"290";"202";"856";"490";"366";"1314";"479";"835"
"2005 week 22";"2460";"1173";"1287";"469";"273";"196";"777";"454";"323";"1214";"446";"768"
"2005 week 23";"2377";"1209";"1168";"480";"286";"194";"746";"464";"282";"1151";"459";"692"
"2005 week 24";"2539";"1270";"1269";"496";"308";"188";"850";"502";"348";"1193";"460";"733"
"2005 week 25";"2782";"1368";"1414";"507";"316";"191";"873";"507";"366";"1402";"545";"857"
"2005 week 26";"2509";"1208";"1301";"459";"284";"175";"813";"481";"332";"1237";"443";"794"
"2005 week 27";"2302";"1125";"1177";"481";"294";"187";"721";"415";"306";"1100";"416";"684"
"2005 week 28";"2382";"1135";"1247";"465";"270";"195";"756";"439";"317";"1161";"426";"735"
"2005 week 29";"2326";"1068";"1258";"443";"240";"203";"733";"422";"311";"1150";"406";"744"
"2005 week 30";"2318";"1113";"1205";"456";"257";"199";"772";"424";"348";"1090";"432";"658"
"2005 week 31";"2314";"1173";"1141";"479";"286";"193";"787";"489";"298";"1048";"398";"650"
"2005 week 32";"2244";"1074";"1170";"437";"252";"185";"749";"427";"322";"1058";"395";"663"
"2005 week 33";"2394";"1185";"1209";"495";"304";"191";"771";"456";"315";"1128";"425";"703"
"2005 week 34";"2361";"1137";"1224";"496";"285";"211";"753";"434";"319";"1112";"418";"694"
"2005 week 35";"2423";"1216";"1207";"539";"320";"219";"754";"461";"293";"1130";"435";"695"
"2005 week 36";"2392";"1154";"1238";"467";"288";"179";"744";"429";"315";"1181";"437";"744"
"2005 week 37";"2323";"1174";"1149";"437";"266";"171";"800";"479";"321";"1086";"429";"657"
"2005 week 38";"2219";"1065";"1154";"461";"274";"187";"704";"400";"304";"1054";"391";"663"
"2005 week 39";"2342";"1179";"1163";"451";"276";"175";"767";"466";"301";"1124";"437";"687"
"2005 week 40";"2397";"1138";"1259";"445";"267";"178";"795";"451";"344";"1157";"420";"737"
"2005 week 41";"2416";"1159";"1257";"460";"254";"206";"770";"452";"318";"1186";"453";"733"
"2005 week 42";"2524";"1226";"1298";"494";"294";"200";"813";"482";"331";"1217";"450";"767"
"2005 week 43";"2499";"1235";"1264";"464";"274";"190";"845";"511";"334";"1190";"450";"740"
"2005 week 44";"2322";"1141";"1181";"471";"266";"205";"774";"469";"305";"1077";"406";"671"
"2005 week 45";"2417";"1222";"1195";"450";"263";"187";"782";"482";"300";"1185";"477";"708"
"2005 week 46";"2489";"1186";"1303";"469";"278";"191";"827";"468";"359";"1193";"440";"753"
"2005 week 47";"2692";"1286";"1406";"564";"314";"250";"828";"508";"320";"1300";"464";"836"
"2005 week 48";"2669";"1283";"1386";"482";"277";"205";"874";"508";"366";"1313";"498";"815"
"2005 week 49";"2705";"1292";"1413";"493";"274";"219";"859";"521";"338";"1353";"497";"856"
"2005 week 50";"2714";"1307";"1407";"517";"302";"215";"864";"497";"367";"1333";"508";"825"
"2005 week 51";"2676";"1261";"1415";"474";"261";"213";"858";"495";"363";"1344";"505";"839"
"2005 week 52 (6 days)";"2348";"1158";"1190";"412";"236";"176";"760";"452";"308";"1176";"470";"706"
"2006 week 0 (1 day)";"352";"182";"170";"57";"31";"26";"118";"65";"53";"177";"86";"91"
"2006 week 1";"2746";"1299";"1447";"472";"280";"192";"814";"467";"347";"1460";"552";"908"
"2006 week 2";"2834";"1339";"1495";"507";"290";"217";"811";"474";"337";"1516";"575";"941"
"2006 week 3";"2770";"1371";"1399";"487";"275";"212";"846";"518";"328";"1437";"578";"859"
"2006 week 4";"2747";"1350";"1397";"479";"295";"184";"802";"513";"289";"1466";"542";"924"
"2006 week 5";"2838";"1352";"1486";"521";"305";"216";"815";"469";"346";"1502";"578";"924"
"2006 week 6";"2819";"1330";"1489";"489";"268";"221";"866";"530";"336";"1464";"532";"932"
"2006 week 7";"2841";"1359";"1482";"488";"299";"189";"814";"474";"340";"1539";"586";"953"
"2006 week 8";"2856";"1327";"1529";"519";"296";"223";"861";"488";"373";"1476";"543";"933"
"2006 week 9";"2880";"1400";"1480";"501";"299";"202";"864";"492";"372";"1515";"609";"906"
"2006 week 10";"2920";"1411";"1509";"498";"294";"204";"819";"481";"338";"1603";"636";"967"
"2006 week 11";"2762";"1322";"1440";"455";"266";"189";"853";"506";"347";"1454";"550";"904"
"2006 week 12";"2920";"1412";"1508";"503";"296";"207";"860";"538";"322";"1557";"578";"979"
"2006 week 13";"2867";"1335";"1532";"486";"272";"214";"830";"469";"361";"1551";"594";"957"
"2006 week 14";"2646";"1267";"1379";"446";"271";"175";"831";"481";"350";"1369";"515";"854"
"2006 week 15";"2743";"1361";"1382";"463";"283";"180";"834";"523";"311";"1446";"555";"891"
"2006 week 16";"2684";"1318";"1366";"514";"317";"197";"834";"490";"344";"1336";"511";"825"
"2006 week 17";"2576";"1235";"1341";"492";"284";"208";"778";"447";"331";"1306";"504";"802"
"2006 week 18";"2559";"1230";"1329";"454";"272";"182";"806";"482";"324";"1299";"476";"823"
"2006 week 19";"2591";"1234";"1357";"487";"296";"191";"818";"447";"371";"1286";"491";"795"
"2006 week 20";"2450";"1178";"1272";"467";"282";"185";"721";"405";"316";"1262";"491";"771"
"2006 week 21";"2349";"1130";"1219";"440";"263";"177";"730";"441";"289";"1179";"426";"753"
"2006 week 22";"2404";"1162";"1242";"455";"250";"205";"767";"464";"303";"1182";"448";"734"
"2006 week 23";"2511";"1268";"1243";"492";"286";"206";"748";"462";"286";"1271";"520";"751"
"2006 week 24";"2682";"1297";"1385";"499";"312";"187";"798";"466";"332";"1385";"519";"866"
"2006 week 25";"2526";"1224";"1302";"461";"276";"185";"797";"470";"327";"1268";"478";"790"
"2006 week 26";"2390";"1135";"1255";"474";"289";"185";"750";"420";"330";"1166";"426";"740"
"2006 week 27";"2722";"1277";"1445";"501";"276";"225";"822";"490";"332";"1399";"511";"888"
"2006 week 28";"2508";"1219";"1289";"493";"280";"213";"778";"475";"303";"1237";"464";"773"
"2006 week 29";"2829";"1284";"1545";"495";"282";"213";"796";"477";"319";"1538";"525";"1013"
"2006 week 30";"3046";"1366";"1680";"487";"306";"181";"889";"519";"370";"1670";"541";"1129"
"2006 week 31";"2352";"1116";"1236";"419";"240";"179";"687";"413";"274";"1246";"463";"783"
"2006 week 32";"2332";"1138";"1194";"443";"268";"175";"753";"444";"309";"1136";"426";"710"
"2006 week 33";"2342";"1131";"1211";"477";"285";"192";"706";"420";"286";"1159";"426";"733"
"2006 week 34";"2396";"1225";"1171";"491";"306";"185";"782";"479";"303";"1123";"440";"683"
"2006 week 35";"2375";"1154";"1221";"450";"253";"197";"767";"459";"308";"1158";"442";"716"
"2006 week 36";"2379";"1136";"1243";"458";"274";"184";"775";"447";"328";"1146";"415";"731"
"2006 week 37";"2633";"1258";"1375";"498";"318";"180";"826";"490";"336";"1309";"450";"859"
"2006 week 38";"2382";"1149";"1233";"448";"262";"186";"741";"436";"305";"1193";"451";"742"
"2006 week 39";"2292";"1108";"1184";"459";"273";"186";"701";"409";"292";"1132";"426";"706"
"2006 week 40";"2278";"1107";"1171";"471";"271";"200";"731";"410";"321";"1076";"426";"650"
"2006 week 41";"2301";"1138";"1163";"469";"290";"179";"734";"442";"292";"1098";"406";"692"
"2006 week 42";"2394";"1166";"1228";"459";"279";"180";"792";"466";"326";"1143";"421";"722"
"2006 week 43";"2407";"1162";"1245";"486";"287";"199";"768";"460";"308";"1153";"415";"738"
"2006 week 44";"2370";"1169";"1201";"458";"264";"194";"742";"454";"288";"1170";"451";"719"
"2006 week 45";"2555";"1285";"1270";"466";"292";"174";"865";"522";"343";"1224";"471";"753"
"2006 week 46";"2559";"1236";"1323";"488";"295";"193";"796";"459";"337";"1275";"482";"793"
"2006 week 47";"2550";"1249";"1301";"516";"318";"198";"800";"488";"312";"1234";"443";"791"
"2006 week 48";"2592";"1281";"1311";"486";"290";"196";"844";"502";"342";"1262";"489";"773"
"2006 week 49";"2542";"1228";"1314";"477";"269";"208";"832";"497";"335";"1233";"462";"771"
"2006 week 50";"2564";"1239";"1325";"511";"293";"218";"833";"476";"357";"1220";"470";"750"
"2006 week 51";"2726";"1315";"1411";"504";"286";"218";"843";"483";"360";"1379";"546";"833"
"2006 week 52";"2683";"1330";"1353";"462";"274";"188";"842";"495";"347";"1379";"561";"818"
"2007 week 1";"2802";"1338";"1464";"496";"292";"204";"819";"473";"346";"1487";"573";"914"
"2007 week 2";"2837";"1384";"1453";"482";"285";"197";"869";"523";"346";"1486";"576";"910"
"2007 week 3";"2694";"1310";"1384";"487";"289";"198";"796";"468";"328";"1411";"553";"858"
"2007 week 4";"2680";"1316";"1364";"496";"288";"208";"796";"491";"305";"1388";"537";"851"
"2007 week 5";"2717";"1374";"1343";"471";"285";"186";"796";"504";"292";"1450";"585";"865"
"2007 week 6";"2718";"1377";"1341";"475";"286";"189";"833";"506";"327";"1410";"585";"825"
"2007 week 7";"2716";"1314";"1402";"481";"276";"205";"829";"509";"320";"1406";"529";"877"
"2007 week 8";"2706";"1304";"1402";"458";"288";"170";"794";"466";"328";"1454";"550";"904"
"2007 week 9";"2829";"1407";"1422";"465";"260";"205";"890";"545";"345";"1474";"602";"872"
"2007 week 10";"2828";"1392";"1436";"457";"292";"165";"855";"501";"354";"1516";"599";"917"
"2007 week 11";"2650";"1297";"1353";"475";"286";"189";"768";"454";"314";"1407";"557";"850"
"2007 week 12";"2642";"1292";"1350";"453";"260";"193";"806";"482";"324";"1383";"550";"833"
"2007 week 13";"2662";"1281";"1381";"462";"266";"196";"815";"473";"342";"1385";"542";"843"
"2007 week 14";"2528";"1201";"1327";"468";"266";"202";"745";"446";"299";"1315";"489";"826"
"2007 week 15";"2615";"1260";"1355";"455";"267";"188";"864";"509";"355";"1296";"484";"812"
"2007 week 16";"2547";"1263";"1284";"469";"301";"168";"747";"448";"299";"1331";"514";"817"
"2007 week 17";"2619";"1327";"1292";"477";"286";"191";"805";"511";"294";"1337";"530";"807"
"2007 week 18";"2493";"1172";"1321";"462";"290";"172";"715";"398";"317";"1316";"484";"832"
"2007 week 19";"2494";"1231";"1263";"411";"244";"167";"783";"476";"307";"1300";"511";"789"
"2007 week 20";"2360";"1203";"1157";"465";"289";"176";"724";"449";"275";"1171";"465";"706"
"2007 week 21";"2442";"1203";"1239";"476";"284";"192";"761";"453";"308";"1205";"466";"739"
"2007 week 22";"2381";"1148";"1233";"470";"293";"177";"709";"418";"291";"1202";"437";"765"
"2007 week 23";"2577";"1258";"1319";"456";"262";"194";"807";"473";"334";"1314";"523";"791"
"2007 week 24";"2422";"1163";"1259";"441";"257";"184";"744";"464";"280";"1237";"442";"795"
"2007 week 25";"2392";"1156";"1236";"456";"268";"188";"735";"447";"288";"1201";"441";"760"
"2007 week 26";"2366";"1145";"1221";"464";"267";"197";"732";"419";"313";"1170";"459";"711"
"2007 week 27";"2434";"1169";"1265";"446";"235";"211";"817";"483";"334";"1171";"451";"720"
"2007 week 28";"2412";"1107";"1305";"436";"245";"191";"737";"433";"304";"1239";"429";"810"
"2007 week 29";"2288";"1129";"1159";"425";"250";"175";"700";"430";"270";"1163";"449";"714"
"2007 week 30";"2354";"1153";"1201";"477";"271";"206";"757";"464";"293";"1120";"418";"702"
"2007 week 31";"2367";"1168";"1199";"429";"257";"172";"740";"454";"286";"1198";"457";"741"
"2007 week 32";"2464";"1204";"1260";"461";"285";"176";"761";"467";"294";"1242";"452";"790"
"2007 week 33";"2288";"1111";"1177";"447";"260";"187";"708";"426";"282";"1133";"425";"708"
"2007 week 34";"2371";"1149";"1222";"484";"296";"188";"712";"422";"290";"1175";"431";"744"
"2007 week 35";"2228";"1060";"1168";"460";"266";"194";"687";"401";"286";"1081";"393";"688"
"2007 week 36";"2323";"1126";"1197";"480";"284";"196";"697";"409";"288";"1146";"433";"713"
"2007 week 37";"2369";"1185";"1184";"451";"271";"180";"745";"446";"299";"1173";"468";"705"
"2007 week 38";"2276";"1126";"1150";"455";"282";"173";"733";"447";"286";"1088";"397";"691"
"2007 week 39";"2316";"1128";"1188";"451";"252";"199";"701";"414";"287";"1164";"462";"702"
"2007 week 40";"2378";"1142";"1236";"437";"252";"185";"761";"453";"308";"1180";"437";"743"
"2007 week 41";"2488";"1237";"1251";"466";"276";"190";"823";"487";"336";"1199";"474";"725"
"2007 week 42";"2531";"1197";"1334";"462";"272";"190";"840";"488";"352";"1229";"437";"792"
"2007 week 43";"2508";"1190";"1318";"466";"273";"193";"765";"444";"321";"1277";"473";"804"
"2007 week 44";"2599";"1293";"1306";"470";"277";"193";"807";"461";"346";"1322";"555";"767"
"2007 week 45";"2567";"1222";"1345";"497";"282";"215";"806";"453";"353";"1264";"487";"777"
"2007 week 46";"2587";"1257";"1330";"516";"308";"208";"781";"468";"313";"1290";"481";"809"
"2007 week 47";"2663";"1283";"1380";"483";"266";"217";"841";"472";"369";"1339";"545";"794"
"2007 week 48";"2804";"1384";"1420";"501";"296";"205";"891";"523";"368";"1412";"565";"847"
"2007 week 49";"2748";"1338";"1410";"503";"291";"212";"799";"478";"321";"1446";"569";"877"
"2007 week 50";"2722";"1308";"1414";"491";"286";"205";"826";"479";"347";"1405";"543";"862"
"2007 week 51";"2839";"1359";"1480";"534";"304";"230";"862";"505";"357";"1443";"550";"893"
"2007 week 52";"2964";"1444";"1520";"522";"304";"218";"873";"514";"359";"1569";"626";"943"
"2007 week 53 (1 day)";"417";"212";"205";"69";"45";"24";"120";"72";"48";"228";"95";"133"
"2008 week 1 (6 days)";"2532";"1247";"1285";"402";"239";"163";"708";"423";"285";"1422";"585";"837"
"2008 week 2";"3045";"1430";"1615";"523";"291";"232";"820";"456";"364";"1702";"683";"1019"
"2008 week 3";"2928";"1400";"1528";"493";"285";"208";"802";"459";"343";"1633";"656";"977"
"2008 week 4";"2773";"1347";"1426";"524";"295";"229";"802";"489";"313";"1447";"563";"884"
"2008 week 5";"2733";"1307";"1426";"477";"299";"178";"758";"454";"304";"1498";"554";"944"
"2008 week 6";"2676";"1341";"1335";"475";"295";"180";"750";"466";"284";"1451";"580";"871"
"2008 week 7";"2703";"1274";"1429";"476";"275";"201";"811";"481";"330";"1416";"518";"898"
"2008 week 8";"2821";"1339";"1482";"494";"273";"221";"804";"475";"329";"1523";"591";"932"
"2008 week 9";"2775";"1334";"1441";"462";"271";"191";"772";"464";"308";"1541";"599";"942"
"2008 week 10";"2840";"1433";"1407";"498";"296";"202";"779";"493";"286";"1563";"644";"919"
"2008 week 11";"2718";"1312";"1406";"499";"308";"191";"759";"458";"301";"1460";"546";"914"
"2008 week 12";"2664";"1285";"1379";"478";"258";"220";"801";"485";"316";"1385";"542";"843"
"2008 week 13";"2700";"1274";"1426";"458";"272";"186";"771";"439";"332";"1471";"563";"908"
"2008 week 14";"2712";"1271";"1441";"473";"288";"185";"766";"431";"335";"1473";"552";"921"
"2008 week 15";"2643";"1273";"1370";"446";"278";"168";"793";"463";"330";"1404";"532";"872"
"2008 week 16";"2675";"1263";"1412";"472";"277";"195";"784";"456";"328";"1419";"530";"889"
"2008 week 17";"2585";"1230";"1355";"455";"267";"188";"723";"441";"282";"1407";"522";"885"
"2008 week 18";"2566";"1202";"1364";"468";"274";"194";"770";"457";"313";"1328";"471";"857"
"2008 week 19";"2718";"1319";"1399";"493";"306";"187";"796";"488";"308";"1429";"525";"904"
"2008 week 20";"2555";"1207";"1348";"447";"263";"184";"754";"449";"305";"1354";"495";"859"
"2008 week 21";"2544";"1234";"1310";"464";"283";"181";"722";"431";"291";"1358";"520";"838"
"2008 week 22";"2457";"1194";"1263";"457";"268";"189";"734";"453";"281";"1266";"473";"793"
"2008 week 23";"2394";"1161";"1233";"455";"271";"184";"713";"423";"290";"1226";"467";"759"
"2008 week 24";"2462";"1196";"1266";"468";"264";"204";"717";"439";"278";"1277";"493";"784"
"2008 week 25";"2391";"1161";"1230";"463";"250";"213";"718";"434";"284";"1210";"477";"733"
"2008 week 26";"2514";"1223";"1291";"484";"291";"193";"760";"448";"312";"1270";"484";"786"
"2008 week 27";"2507";"1174";"1333";"429";"249";"180";"793";"455";"338";"1285";"470";"815"
"2008 week 28";"2348";"1094";"1254";"428";"232";"196";"713";"408";"305";"1207";"454";"753"
"2008 week 29";"2413";"1168";"1245";"485";"295";"190";"709";"405";"304";"1219";"468";"751"
"2008 week 30";"2368";"1111";"1257";"431";"250";"181";"725";"424";"301";"1212";"437";"775"
"2008 week 31";"2572";"1229";"1343";"487";"280";"207";"776";"478";"298";"1309";"471";"838"
"2008 week 32";"2419";"1171";"1248";"490";"303";"187";"690";"412";"278";"1239";"456";"783"
"2008 week 33";"2312";"1117";"1195";"472";"278";"194";"698";"406";"292";"1142";"433";"709"
"2008 week 34";"2351";"1113";"1238";"498";"283";"215";"710";"410";"300";"1143";"420";"723"
"2008 week 35";"2320";"1133";"1187";"396";"241";"155";"749";"438";"311";"1175";"454";"721"
"2008 week 36";"2349";"1112";"1237";"421";"236";"185";"743";"427";"316";"1185";"449";"736"
"2008 week 37";"2350";"1183";"1167";"465";"275";"190";"768";"472";"296";"1117";"436";"681"
"2008 week 38";"2415";"1178";"1237";"483";"273";"210";"725";"428";"297";"1207";"477";"730"
"2008 week 39";"2363";"1128";"1235";"452";"280";"172";"743";"426";"317";"1168";"422";"746"
"2008 week 40";"2555";"1194";"1361";"465";"264";"201";"825";"483";"342";"1265";"447";"818"
"2008 week 41";"2383";"1181";"1202";"471";"293";"178";"732";"428";"304";"1180";"460";"720"
"2008 week 42";"2409";"1162";"1247";"495";"280";"215";"723";"427";"296";"1191";"455";"736"
"2008 week 43";"2460";"1235";"1225";"469";"291";"178";"740";"437";"303";"1251";"507";"744"
"2008 week 44";"2601";"1261";"1340";"475";"262";"213";"817";"493";"324";"1309";"506";"803"
"2008 week 45";"2504";"1191";"1313";"470";"273";"197";"784";"444";"340";"1250";"474";"776"
"2008 week 46";"2517";"1215";"1302";"477";"270";"207";"766";"445";"321";"1274";"500";"774"
"2008 week 47";"2507";"1212";"1295";"491";"285";"206";"761";"458";"303";"1255";"469";"786"
"2008 week 48";"2622";"1294";"1328";"541";"325";"216";"827";"492";"335";"1254";"477";"777"
"2008 week 49";"2693";"1215";"1478";"462";"269";"193";"811";"450";"361";"1420";"496";"924"
"2008 week 50";"2781";"1322";"1459";"498";"286";"212";"842";"496";"346";"1441";"540";"901"
"2008 week 51";"2812";"1365";"1447";"508";"285";"223";"862";"531";"331";"1442";"549";"893"
"2008 week 52";"2815";"1276";"1539";"505";"285";"220";"906";"519";"387";"1404";"472";"932"
"2008 week 53 (3 days)";"1266";"611";"655";"234";"132";"102";"363";"223";"140";"669";"256";"413"
"2009 week 1 (4 days)";"1828";"874";"954";"280";"163";"117";"507";"304";"203";"1041";"407";"634"
"2009 week 2";"3215";"1561";"1654";"516";"298";"218";"935";"568";"367";"1764";"695";"1069"
"2009 week 3";"3408";"1648";"1760";"533";"325";"208";"956";"579";"377";"1919";"744";"1175"
"2009 week 4";"3218";"1540";"1678";"484";"285";"199";"904";"526";"378";"1830";"729";"1101"
"2009 week 5";"3161";"1478";"1683";"516";"317";"199";"857";"492";"365";"1788";"669";"1119"
"2009 week 6";"3165";"1477";"1688";"487";"276";"211";"877";"521";"356";"1801";"680";"1121"
"2009 week 7";"2877";"1351";"1526";"448";"270";"178";"858";"479";"379";"1571";"602";"969"
"2009 week 8";"2854";"1333";"1521";"476";"265";"211";"791";"466";"325";"1587";"602";"985"
"2009 week 9";"2713";"1297";"1416";"459";"273";"186";"795";"483";"312";"1459";"541";"918"
"2009 week 10";"2599";"1284";"1315";"428";"246";"182";"767";"466";"301";"1404";"572";"832"
"2009 week 11";"2621";"1257";"1364";"469";"276";"193";"731";"432";"299";"1421";"549";"872"
"2009 week 12";"2619";"1295";"1324";"486";"295";"191";"781";"461";"320";"1352";"539";"813"
"2009 week 13";"2575";"1300";"1275";"475";"280";"195";"728";"470";"258";"1372";"550";"822"
"2009 week 14";"2639";"1277";"1362";"485";"282";"203";"794";"499";"295";"1360";"496";"864"
"2009 week 15";"2621";"1275";"1346";"439";"257";"182";"773";"482";"291";"1409";"536";"873"
"2009 week 16";"2617";"1269";"1348";"483";"281";"202";"751";"444";"307";"1383";"544";"839"
"2009 week 17";"2429";"1154";"1275";"422";"239";"183";"707";"415";"292";"1300";"500";"800"
"2009 week 18";"2369";"1133";"1236";"424";"261";"163";"688";"417";"271";"1257";"455";"802"
"2009 week 19";"2371";"1166";"1205";"447";"256";"191";"690";"431";"259";"1234";"479";"755"
"2009 week 20";"2450";"1214";"1236";"438";"246";"192";"738";"451";"287";"1274";"517";"757"
"2009 week 21";"2421";"1166";"1255";"432";"251";"181";"729";"439";"290";"1260";"476";"784"
"2009 week 22";"2434";"1223";"1211";"454";"274";"180";"758";"469";"289";"1222";"480";"742"
"2009 week 23";"2391";"1150";"1241";"442";"260";"182";"701";"415";"286";"1248";"475";"773"
"2009 week 24";"2446";"1168";"1278";"443";"270";"173";"762";"435";"327";"1241";"463";"778"
"2009 week 25";"2372";"1173";"1199";"476";"274";"202";"718";"461";"257";"1178";"438";"740"
"2009 week 26";"2331";"1127";"1204";"459";"274";"185";"695";"410";"285";"1177";"443";"734"
"2009 week 27";"2494";"1234";"1260";"472";"285";"187";"734";"434";"300";"1288";"515";"773"
"2009 week 28";"2378";"1141";"1237";"470";"279";"191";"690";"405";"285";"1218";"457";"761"
"2009 week 29";"2437";"1159";"1278";"496";"285";"211";"716";"421";"295";"1225";"453";"772"
"2009 week 30";"2302";"1097";"1205";"461";"272";"189";"674";"376";"298";"1167";"449";"718"
"2009 week 31";"2356";"1155";"1201";"466";"273";"193";"722";"457";"265";"1168";"425";"743"
"2009 week 32";"2348";"1144";"1204";"444";"267";"177";"723";"429";"294";"1181";"448";"733"
"2009 week 33";"2247";"1080";"1167";"455";"256";"199";"680";"404";"276";"1112";"420";"692"
"2009 week 34";"2346";"1174";"1172";"445";"266";"179";"698";"436";"262";"1203";"472";"731"
"2009 week 35";"2303";"1145";"1158";"483";"285";"198";"681";"415";"266";"1139";"445";"694"
"2009 week 36";"2300";"1099";"1201";"454";"259";"195";"691";"410";"281";"1155";"430";"725"
"2009 week 37";"2426";"1193";"1233";"440";"244";"196";"778";"473";"305";"1208";"476";"732"
"2009 week 38";"2390";"1133";"1257";"472";"276";"196";"742";"442";"300";"1176";"415";"761"
"2009 week 39";"2404";"1173";"1231";"468";"282";"186";"756";"443";"313";"1180";"448";"732"
"2009 week 40";"2393";"1203";"1190";"477";"285";"192";"716";"436";"280";"1200";"482";"718"
"2009 week 41";"2541";"1258";"1283";"480";"289";"191";"793";"463";"330";"1268";"506";"762"
"2009 week 42";"2478";"1203";"1275";"477";"256";"221";"780";"465";"315";"1221";"482";"739"
"2009 week 43";"2602";"1303";"1299";"496";"296";"200";"794";"483";"311";"1312";"524";"788"
"2009 week 44";"2565";"1275";"1290";"470";"275";"195";"840";"523";"317";"1255";"477";"778"
"2009 week 45";"2532";"1236";"1296";"499";"288";"211";"764";"467";"297";"1269";"481";"788"
"2009 week 46";"2568";"1281";"1287";"484";"293";"191";"798";"476";"322";"1286";"512";"774"
"2009 week 47";"2497";"1211";"1286";"463";"258";"205";"739";"472";"267";"1295";"481";"814"
"2009 week 48";"2436";"1223";"1213";"468";"263";"205";"765";"450";"315";"1203";"510";"693"
"2009 week 49";"2509";"1263";"1246";"513";"308";"205";"755";"454";"301";"1241";"501";"740"
"2009 week 50";"2489";"1230";"1259";"457";"284";"173";"790";"460";"330";"1242";"486";"756"
"2009 week 51";"2768";"1357";"1411";"511";"289";"222";"859";"530";"329";"1398";"538";"860"
"2009 week 52";"2811";"1436";"1375";"480";"308";"172";"850";"517";"333";"1481";"611";"870"
"2009 week 53 (4 days)";"1571";"769";"802";"272";"161";"111";"478";"279";"199";"821";"329";"492"
"2010 week 0 (3 days)";"1179";"542";"637";"202";"129";"73";"333";"191";"142";"644";"222";"422"
"2010 week 1";"2767";"1373";"1394";"441";"263";"178";"763";"481";"282";"1563";"629";"934"
"2010 week 2";"2830";"1371";"1459";"466";"266";"200";"792";"477";"315";"1572";"628";"944"
"2010 week 3";"2846";"1314";"1532";"481";"276";"205";"803";"450";"353";"1562";"588";"974"
"2010 week 4";"2865";"1396";"1469";"493";"279";"214";"769";"467";"302";"1603";"650";"953"
"2010 week 5";"2858";"1385";"1473";"490";"288";"202";"827";"501";"326";"1541";"596";"945"
"2010 week 6";"2831";"1336";"1495";"467";"247";"220";"814";"508";"306";"1550";"581";"969"
"2010 week 7";"2900";"1341";"1559";"484";"279";"205";"805";"461";"344";"1611";"601";"1010"
"2010 week 8";"2929";"1373";"1556";"484";"275";"209";"836";"470";"366";"1609";"628";"981"
"2010 week 9";"2757";"1299";"1458";"473";"272";"201";"792";"457";"335";"1492";"570";"922"
"2010 week 10";"2760";"1334";"1426";"483";"280";"203";"812";"474";"338";"1465";"580";"885"
"2010 week 11";"2686";"1316";"1370";"457";"285";"172";"767";"464";"303";"1462";"567";"895"
"2010 week 12";"2687";"1293";"1394";"456";"266";"190";"815";"460";"355";"1416";"567";"849"
