Data as of,Group,State,Indicator,Start week,End week,All COVID-19 Deaths (U07.1),Deaths from All Causes,Percent of Expected Deaths,All Pneumonia Deaths (J12.0-J18.9),Deaths with Pneumonia and COVID-19 (J12.0-J18.9 and U07.1),All Influenza Deaths (J09-J11),"Pneumonia, Influenza, and COVID-19 Deaths",Footnote
04/27/2020,By state,Kansas,Kansas,02/01/2020,04/25/2020,78,"6,308",0.91,434,34,85,,
04/27/2020,By state,Kentucky,Kentucky,02/01/2020,04/25/2020,87,"10,234",0.81,913,55,84,,
04/27/2020,By state,Louisiana,Louisiana,02/01/2020,04/25/2020,538,"10,304",0.88,680,220,60,,
04/27/2020,By state,Maine,Maine,02/01/2020,04/25/2020,31,"3,668",0.96,308,10,30,,
04/27/2020,By state,Maryland,Maryland,02/01/2020,04/25/2020,478,"12,854",0.98,"1,131",211,105,,
04/27/2020,By state,Massachusetts,Massachusetts,02/01/2020,04/25/2020,"1,023","15,900",1.01,"1,681",407,148,,
04/27/2020,By state,Michigan,Michigan,02/01/2020,04/25/2020,"1,462","25,336",1,"2,322",695,216,,
04/27/2020,By state,Minnesota,Minnesota,02/01/2020,04/25/2020,114,"10,799",0.95,786,44,111,,
04/27/2020,By state,Mississippi,Mississippi,02/01/2020,04/25/2020,154,"7,706",0.95,694,78,51,,
04/27/2020,By state,Missouri,Missouri,02/01/2020,04/25/2020,136,"14,378",0.85,903,55,167,,
04/27/2020,By state,Montana,Montana,02/01/2020,04/25/2020,,"2,248",0.84,132,,32,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2020,By state,Nebraska,Nebraska,02/01/2020,04/25/2020,21,"3,696",0.84,285,,27,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2020,By state,Nevada,Nevada,02/01/2020,04/25/2020,105,"6,121",0.91,493,84,35,,
04/27/2020,By state,New Hampshire,New Hampshire,02/01/2020,04/25/2020,47,"3,068",0.95,212,16,29,,
04/27/2020,By state,New Jersey,New Jersey,02/01/2020,04/25/2020,"3,037","23,224",1.19,"3,125","1,569",104,,
04/27/2020,By state,New Mexico,New Mexico,02/01/2020,04/25/2020,28,"4,028",0.83,284,20,25,,
04/27/2020,By state,New York,New York,02/01/2020,04/25/2020,"4,283","30,423",1.16,"4,709","2,228",187,,
04/27/2020,By state,New York City,New York City,02/01/2020,04/25/2020,"9,401","28,139",2.01,"5,350","3,410",792,,
04/27/2020,By state,North Carolina,North Carolina,02/01/2020,04/25/2020,0,"9,131",0.37,557,0,107,,
04/27/2020,By state,North Dakota,North Dakota,02/01/2020,04/25/2020,,"1,508",0.83,135,,18,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2020,By state,Ohio,Ohio,02/01/2020,04/25/2020,168,"24,258",0.75,"1,382",73,217,,
04/27/2020,By state,Oklahoma,Oklahoma,02/01/2020,04/25/2020,89,"8,389",0.8,740,37,90,,
04/27/2020,By state,Oregon,Oregon,02/01/2020,04/25/2020,58,"7,900",0.83,420,25,56,,
04/27/2020,By state,Pennsylvania,Pennsylvania,02/01/2020,04/25/2020,688,"25,746",0.72,"1,800",296,173,,
04/27/2020,By state,Rhode Island,Rhode Island,02/01/2020,04/25/2020,46,"2,124",0.78,113,10,23,,
04/27/2020,By state,South Carolina,South Carolina,02/01/2020,04/25/2020,121,"12,313",0.97,738,48,91,,
04/27/2020,By state,South Dakota,South Dakota,02/01/2020,04/25/2020,,"1,816",0.86,143,,21,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2020,By state,Tennessee,Tennessee,02/01/2020,04/25/2020,114,"17,396",0.9,"1,317",56,119,,
04/27/2020,By state,Texas,Texas,02/01/2020,04/25/2020,347,"47,230",0.9,"3,497",135,310,,
04/27/2020,By state,Utah,Utah,02/01/2020,04/25/2020,18,"4,551",0.93,267,,38,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2020,By state,Vermont,Vermont,02/01/2020,04/25/2020,36,"1,521",1,105,,14,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2020,By state,Virginia,Virginia,02/01/2020,04/25/2020,211,"16,835",0.94,912,67,101,,
04/27/2020,By state,Washington,Washington,02/01/2020,04/25/2020,527,"13,708",0.92,"1,159",281,98,,
04/27/2020,By state,West Virginia,West Virginia,02/01/2020,04/25/2020,,"4,796",0.81,348,0,56,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2020,By state,Wisconsin,Wisconsin,02/01/2020,04/25/2020,182,"13,146",0.96,754,29,144,,
04/27/2020,By state,Wyoming,Wyoming,02/01/2020,04/25/2020,,"1,085",0.94,83,0,,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2020,By state,Puerto Rico,Puerto Rico,02/01/2020,04/25/2020,51,"4,876",0.65,685,26,28,,
04/27/2020,By sex,United States,Total deaths,02/01/2020,04/25/2020,"27,674","673,580",0.91,"57,480","12,398","5,668",,
04/27/2020,By sex,United States,Male,02/01/2020,04/25/2020,"15,923","347,539",0.91,"30,733","7,157","2,903",,
04/27/2020,By sex,United States,Female,02/01/2020,04/25/2020,"11,750","326,018",0.91,"26,746","5,240","2,765",,
04/27/2020,By sex,United States,Unknown,02/01/2020,04/25/2020,1,23,0.91,1,1,0,,
04/27/2020,By place of death,United States,Total,02/01/2020,04/25/2020,"27,674","673,580",0.91,"57,480","12,398","5,668",,
04/27/2020,By place of death,United States,"Healthcare setting, inpatient",02/01/2020,04/25/2020,"19,178","193,765",0.91,"39,369","9,903","3,544",,
04/27/2020,By place of death,United States,"Healthcare setting, outpatient or emergency room",02/01/2020,04/25/2020,"1,431","40,122",0.91,"2,235",537,182,,
04/27/2020,By place of death,United States,"Healthcare setting, dead on arrival",02/01/2020,04/25/2020,33,"1,767",0.91,44,10,11,,
04/27/2020,By place of death,United States,Decedent's home,02/01/2020,04/25/2020,"2,073","217,574",0.91,"4,367",275,"1,132",,
04/27/2020,By place of death,United States,Hospice facility,02/01/2020,04/25/2020,334,"47,811",0.91,"2,916",162,285,,
04/27/2020,By place of death,United States,Nursing home/long term care facility,02/01/2020,04/25/2020,"4,341","130,207",0.91,"7,624","1,429",436,,
04/27/2020,By place of death,United States,Other,02/01/2020,04/25/2020,279,"42,210",0.91,911,80,78,,
04/27/2020,By place of death,United States,Place of death unknown,02/01/2020,04/25/2020,5,124,0.91,14,2,0,,
